Brand Name,Award Photo Drive Link,Notes
Kairo,https://drive.google.com/file/d/1gKgzeP-4Wmw9FvxvRsgnG8luUFWGL0Qh/view,
KAZI Jewels,https://drive.google.com/file/d/16fNyEv-nusrS_WU4nl6GB2gdEjp_E5E2/view,HEIC - same filesize as RefleKt below - verify not duplicate
Dravya,https://drive.google.com/file/d/1RD7ElaKTGiWAqTGNfwrJJAn5bkVpDHRf/view,
Dear Friday,https://drive.google.com/file/d/1-j4xWiyxBSfpoJguymRgne_Of0jYf-V2/view,
Blends&bars,https://drive.google.com/file/d/1mlm8H8WbyMSlXif-TKgo7mTYGVGSv-8i/view,
Aur Ek,https://drive.google.com/file/d/1W-xfXk5ikzCJ2MSz8W-hXuGBI_FDBQcz/view,filename missing the ? from "Aur Ek?"
Brewdbro,https://drive.google.com/file/d/17oBvCjgxsIqpuJSuAZwbXg4oBwmp0GOn/view,
Barcode,https://drive.google.com/file/d/1J4Cs_14gIeZ630iYpT8cgHYxKWdGZsbi/view,
PATTHAR,https://drive.google.com/file/d/1MJIn0mKN_viAYOSVzMzs8aWVkTQWBWtm/view,
Full Moon,https://drive.google.com/file/d/1-j6CpRT86dgYYX2SkznphO9gcmNWAVkN/view,
Masti Labs,https://drive.google.com/file/d/1LW8Vid0gDSk_4pkRx5Ef0AAFTJ-XNwsf/view,
Rivaayat,https://drive.google.com/file/d/19NWwpOs1y5hDn5WwL-qUORkHnDAFjKMY/view,
RefleKt Jewellery,https://drive.google.com/file/d/1kNDqd8k8ZiQb7OWp8MRnaHVfo_JnsbeQ/view,HEIC - same filesize as KAZI above - verify not duplicate
Nutcase,https://drive.google.com/file/d/19TyEyt86gMXskBNunkPcnSl8JRYdSePe/view,
Clock it,https://drive.google.com/file/d/1m61AoI5tgVHvrfcw7TrU3-2H8cDVdWo_/view,
Mohbatti,https://drive.google.com/file/d/1pIxFud7M3sQcLijd_CRLKX5bIBd85Uw6/view,
Sipcobo,https://drive.google.com/file/d/14u9YP-FAj_VXICQT76Tss2tYiTzgAXwH/view,
Bloomora,https://drive.google.com/file/d/1nB9-NSD5RkwJVm6PcJTL4hW5pxNPWphc/view,
Dharani,https://drive.google.com/file/d/1Y23w-hhnRy6ywMgvvQMc2FVWywjAJGYf/view,
PuffEct,https://drive.google.com/file/d/1mn7928DHhQ99NMeKpQu641E04aVDcuHf/view,HEIC
Aethal,https://drive.google.com/file/d/1IDiSxuzZfssBZ_aAkssOvllfLwWtKWlJ/view,
Eat vitl,https://drive.google.com/file/d/1O-pdlILRCKg2EkK7pgozy3ORBZAmi3BS/view,
GoNutti,https://drive.google.com/file/d/1BIMHnaX0VgxoS-UDPvZTBuKE7jSr1-P3/view,
Naani Ki Imli,https://drive.google.com/file/d/1a88KD5B8ojGpanEW1JOoeSz2eC0r40JP/view,
ASTRA PERFUMES,https://drive.google.com/file/d/1Hl-boo11p14XV9GqBTOvf-9I49EhzpXH/view,
WonderBox,https://drive.google.com/file/d/1pXjNsKJqGZz7zYtWOd4-mNAZ3-6U663T/view,
Aeon,https://drive.google.com/file/d/1yLK01ol13YFNEJ14UHTTtDXbSZPNFWnp/view,
Pink Pankti,https://drive.google.com/file/d/1ASqXztDGSqdglAZQxfCpSxTpvdpiuQrl/view,
